Discount,Qty. Sold,Gross Margin
113297,100,100351
119228,96,86624
159450,108,78924
142632,90,58605
106599,79,47387
117454,63,34279
137344,67,26817
186842,93,25634
58461,51,42143
19014,50,60307
127385,95,81034
46499,49,48410
20745,23,24421
7925,47,76734
26180,67,89608
65864,106,135184
31360,84,128549
40516,105,163607
32818,68,105525
18956,74,115671
32929,63,92378
19609,52,80678
10715,46,72603
38179,68,97908
68580,85,107775
191040,131,98936
90656,68,44697
145415,90,40923
144601,86,39034
260043,126,32728
295549,164,80349
492894,216,37346
187332,112,65814
46193,51,69101
40789,75,100102
41441,72,92251
10559,55,88604
30379,53,72303
19598,58,76376
7967,41,57602
20208,56,69887
113542,95,90040
15461,57,84514
32282,63,83458
51108,62,86824
22522,61,92150
147988,142,139086
14689,66,106736
11712,64,97583
29427,88,128333
19213,104,161489
31839,29,23222
104059,97,78164
144330,123,98092
121926,98,64533
136545,93,53694
96096,80,48477
116385,81,50230
148234,94,58773
167572,91,19794
208518,110,24876
60443,63,64401
125827,99,83322
84427,92,87352
21033,86,114131
36094,71,97063
21293,49,68847
54,20,32682
89817,118,132473
46165,111,163019
48286,133,200382
32053,104,149604
9921,68,104912
44426,96,150422
19113,71,107407
36649,88,120885
38130,86,108146
124320,112,102228
110092,95,80456
103987,97,78872
143853,97,50213
135374,93,48762
388574,217,64785
347257,188,62374
312730,173,71153
132660,104,76508
68159,98,105157
71122,83,95447
41850,54,66613
17098,57,82636
6350,16,25173
